単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
人,ヒト,ヒト,10,人,e
物,モノ,モノ,10,人工物-その他,e
自分,ジブン,ジブン,10,人,e
家,イエ,イエ,10,組織・団体;場所-施設,-
手,テ,テ,10,動物-部位;抽象物,e
男,オトコ,オトコ,10,人,-
顔,カオ,カオ,10,動物-部位,-
子供,コドモ,コドモ,10,人,-
女,オンナ,オンナ,10,人,-
電話,デンワ,デンワ,10,人工物-その他,-
母,ハハ,ハハ,10,人,-
店,ミセ,ミセ,10,場所-施設,-
頭,アタマ,アタマ,10,動物-部位,?p?n
口,クチ,クチ,10,動物-部位;抽象物;形・模様,-
会社,カイシャ,カイシャ,10,組織・団体;場所-施設,-
父,チチ,チチ,10,人,-
先生,センセイ,センセイ,10,人,e
部屋,ヘヤ,ヘヤ,10,場所-施設,-
水,ミズ,ミズ,10,自然物,-
国,クニ,クニ,10,組織・団体;場所-その他,-
色,イロ,イロ,10,色,-
道,ミチ,ミチ,10,場所-施設,-
足,アシ,アシ,10,動物-部位,-
友達,トモダチ,トモダチ,10,人,p
学校,ガッコウ,ガッコウ,10,場所-施設,-
テレビ,テレビ,テレビ,10,人工物-その他,-
大学,ダイガク,ダイガク,10,場所-施設,-
山,ヤマ,ヤマ,10,場所-自然,-
写真,シャシン,シャシン,10,人工物-その他,-
家族,カゾク,カゾク,10,組織・団体,-
耳,ミミ,ミミ,10,動物-部位,-
犬,イヌ,イヌ,10,動物,-
木,キ,キ,10,植物,-
ホテル,ホテル,ホテル,10,場所-施設,-
酒,サケ,サケ,10,人工物-食べ物,-
海,ウミ,ウミ,10,場所-自然,-
駅,エキ,エキ,10,場所-施設,-
兄,アニ,アニ,10,人,-
料理,リョウリ,リョウリ,10,人工物-食べ物;抽象物,e
女の子,オンナノコ,オンナノコ,10,人,-
台,ダイ,ダイ,10,人工物-その他,e
窓,マド,マド,10,場所-施設部位,-
猫,ネコ,ネコ,10,動物,-
花,ハナ,ハナ,10,植物,e
ドア,ドア,ドア,10,場所-施設,e
歯,ハ,ハ,10,動物-部位,-
新聞,シンブン,シンブン,10,人工物-その他,-
伯父,オジ,オジ,10,人,-
川,カワ,カワ,10,場所-自然,-
姉,アネ,アネ,10,人,-
紙,カミ,カミ,10,人工物-その他,-
薬,クスリ,クスリ,10,人工物-その他,e
服,フク,フク,10,人工物-衣類,-
隣り,トナリ,トナリ,10,場所-その他,-
両親,リョウシン,リョウシン,10,人,-
タバコ,タバコ,タバコ,10,人工物-その他,-
大人,オトナ,オトナ,10,人,e
学生,ガクセイ,ガクセイ,10,人,-
鼻,ハナ,ハナ,10,動物-部位,-
村,ムラ,ムラ,10,組織・団体;場所-その他,-
箱,ハコ,ハコ,10,人工物-その他,-
黒,クロ,クロ,10,色,-
銀行,ギンコウ,ギンコウ,10,組織・団体;場所-施設,-
家庭,カテイ,カテイ,10,場所-その他,p
手紙,テガミ,テガミ,10,人工物-その他,-
椅子,イス,イス,10,人工物-その他,-
テーブル,テーブル,テーブル,10,人工物-その他,-
背,セ,セ,10,動物-部位;場所-機能,-
魚,サカナ,サカナ,10,動物,-
電車,デンシャ,デンシャ,10,人工物-乗り物,-
医者,イシャ,イシャ,10,人,-
伯母,オバ,オバ,10,人,-
ベッド,ベッド,ベッド,10,人工物-その他,-
絵,エ,エ,10,人工物-その他;抽象物,p
